Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,,,,,,
"1<img alt=""logo"" srcSet=""https://static01.nyt.com/athletic/logos/team/team-logo-654-72x72.png?width=32&amp;quality=75&amp;auto=webp 1x, https://static01.nyt.com/athletic/logos/team/team-logo-654-72x72.png?width=48&amp;quality=75&amp;auto=webp 2x"" src=""https://static01.nyt.com/athletic/logos/team/team-logo-654-72x72.png?width=48&amp;quality=75&amp;auto=webp"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain"" class=""sc-b967eb1a-1 cnJOzf image-next-root"" loading=""lazy""/>Manchester CityMCI",9,23,7,2,0,20,9,11,DDWWW
"2<img alt=""logo"" srcSet=""https://static01.nyt.com/athletic/logos/team/team-logo-653-72x72.png?width=32&amp;quality=75&amp;auto=webp 1x, https://static01.nyt.com/athletic/logos/team/team-logo-653-72x72.png?width=48&amp;quality=75&amp;auto=webp 2x"" src=""https://static01.nyt.com/athletic/logos/team/team-logo-653-72x72.png?width=48&amp;quality=75&amp;auto=webp"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain"" class=""sc-b967eb1a-1 cnJOzf image-next-root"" loading=""lazy""/>LiverpoolLIV",8,21,7,0,1,15,3,12,LWWWW
"3<img alt=""logo"" srcSet=""https://static01.nyt.com/athletic/logos/team/team-logo-672-72x72.png?width=32&amp;quality=75&amp;auto=webp 1x, https://static01.nyt.com/athletic/logos/team/team-logo-672-72x72.png?width=48&amp;quality=75&amp;auto=webp 2x"" src=""https://static01.nyt.com/athletic/logos/team/team-logo-672-72x72.png?width=48&amp;quality=75&amp;auto=webp"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain"" class=""sc-b967eb1a-1 cnJOzf image-next-root"" loading=""lazy""/>Aston VillaAVL",9,18,5,3,1,16,11,5,WDDWD
"4<img alt=""logo"" srcSet=""https://static01.nyt.com/athletic/logos/team/team-logo-651-72x72.png?width=32&amp;quality=75&amp;auto=webp 1x, https://static01.nyt.com/athletic/logos/team/team-logo-651-72x72.png?width=48&amp;quality=75&amp;auto=webp 2x"" src=""https://static01.nyt.com/athletic/logos/team/team-logo-651-72x72.png?width=48&amp;quality=75&amp;auto=webp"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain"" class=""sc-b967eb1a-1 cnJOzf image-next-root"" loading=""lazy""/>ArsenalARS",8,17,5,2,1,15,8,7,WDWWL
"5<img alt=""logo"" srcSet=""https://static01.nyt.com/athletic/logos/team/team-logo-674-72x72.png?width=32&amp;quality=75&amp;auto=webp 1x, https://static01.nyt.com/athletic/logos/team/team-logo-674-72x72.png?width=48&amp;quality=75&amp;auto=webp 2x"" src=""https://static01.nyt.com/athletic/logos/team/team-logo-674-72x72.png?width=48&amp;quality=75&amp;auto=webp"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain"" class=""sc-b967eb1a-1 cnJOzf image-next-root"" loading=""lazy""/>Brighton & Hove AlbionBHA",9,16,4,4,1,16,12,4,DLWWD
"6<img alt=""logo"" srcSet=""https://static01.nyt.com/athletic/logos/team/team-logo-701-72x72.png?width=32&amp;quality=75&amp;auto=webp 1x, https://static01.nyt.com/athletic/logos/team/team-logo-701-72x72.png?width=48&amp;quality=75&amp;auto=webp 2x"" src=""https://static01.nyt.com/athletic/logos/team/team-logo-701-72x72.png?width=48&amp;quality=75&amp;auto=webp"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain"" class=""sc-b967eb1a-1 cnJOzf image-next-root"" loading=""lazy""/>Nottm ForestNFO",9,16,4,4,1,11,7,4,DLDWW
"7<img alt=""logo"" srcSet=""https://static01.nyt.com/athletic/logos/team/team-logo-652-72x72.png?width=32&amp;quality=75&amp;auto=webp 1x, https://static01.nyt.com/athletic/logos/team/team-logo-652-72x72.png?width=48&amp;quality=75&amp;auto=webp 2x"" src=""https://static01.nyt.com/athletic/logos/team/team-logo-652-72x72.png?width=48&amp;quality=75&amp;auto=webp"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain"" class=""sc-b967eb1a-1 cnJOzf image-next-root"" loading=""lazy""/>ChelseaCHE",8,14,4,2,2,17,10,7,WWWDL
"8<img alt=""logo"" srcSet=""https://static01.nyt.com/athletic/logos/team/team-logo-656-72x72.png?width=32&amp;quality=75&amp;auto=webp 1x, https://static01.nyt.com/athletic/logos/team/team-logo-656-72x72.png?width=48&amp;quality=75&amp;auto=webp 2x"" src=""https://static01.nyt.com/athletic/logos/team/team-logo-656-72x72.png?width=48&amp;quality=75&amp;auto=webp"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain"" class=""sc-b967eb1a-1 cnJOzf image-next-root"" loading=""lazy""/>Tottenham HotspurTOT",8,13,4,1,3,18,9,9,LWWLW
